SeriesDescription,GeoAreaName,TimePeriod,Value,Education level
"Proportion of schools with basic handwashing facilities, by education level (%)",Indonesia,2018,69.1064,PRIMAR
"Proportion of schools with basic handwashing facilities, by education level (%)",Indonesia,2018,66.05716,LOWSEC
"Proportion of schools with basic handwashing facilities, by education level (%)",Indonesia,2018,72.57236,UPPSEC
"Proportion of schools with basic handwashing facilities, by education level (%)",Indonesia,2020,58.244,UPPSEC
"Proportion of schools with basic handwashing facilities, by education level (%)",Indonesia,2020,50.56,LOWSEC
"Proportion of schools with basic handwashing facilities, by education level (%)",Indonesia,2020,55.846,PRIMAR
"Proportion of schools with basic handwashing facilities, by education level (%)",Indonesia,2021,78.048,PRIMAR
"Proportion of schools with basic handwashing facilities, by education level (%)",Indonesia,2021,78.503,LOWSEC
"Proportion of schools with basic handwashing facilities, by education level (%)",Indonesia,2021,81.455,UPPSEC
"Proportion of schools with basic handwashing facilities, by education level (%)",Indonesia,2022,75.636,UPPSEC
"Proportion of schools with basic handwashing facilities, by education level (%)",Indonesia,2022,71.984,LOWSEC
"Proportion of schools with basic handwashing facilities, by education level (%)",Indonesia,2022,70.208,PRIMAR
"Proportion of schools with access to computers for pedagogical purposes, by education level (%)",Indonesia,2015,80.13119,SECOND
"Proportion of schools with access to computers for pedagogical purposes, by education level (%)",Indonesia,2015,15.02025,PRIMAR
"Proportion of schools with access to computers for pedagogical purposes, by education level (%)",Indonesia,2016,67.09425,UPPSEC
"Proportion of schools with access to computers for pedagogical purposes, by education level (%)",Indonesia,2017,67.23037,UPPSEC
"Proportion of schools with access to computers for pedagogical purposes, by education level (%)",Indonesia,2017,32.00007,PRIMAR
"Proportion of schools with access to computers for pedagogical purposes, by education level (%)",Indonesia,2017,42.00068,LOWSEC
"Proportion of schools with access to computers for pedagogical purposes, by education level (%)",Indonesia,2017,51.72859,SECOND
"Proportion of schools with access to computers for pedagogical purposes, by education level (%)",Indonesia,2018,92.79189,SECOND
"Proportion of schools with access to computers for pedagogical purposes, by education level (%)",Indonesia,2018,48.1263,LOWSEC
"Proportion of schools with access to computers for pedagogical purposes, by education level (%)",Indonesia,2018,40.06711,PRIMAR
"Proportion of schools with access to computers for pedagogical purposes, by education level (%)",Indonesia,2022,94.60261,SECOND
"Proportion of schools with access to electricity, by education level (%)",Indonesia,2012,80.16849,LOWSEC
"Proportion of schools with access to electricity, by education level (%)",Indonesia,2012,79.66832,PRIMAR
"Proportion of schools with access to electricity, by education level (%)",Indonesia,2016,90.45489,PRIMAR
"Proportion of schools with access to electricity, by education level (%)",Indonesia,2016,94.71802,LOWSEC
"Proportion of schools with access to electricity, by education level (%)",Indonesia,2017,96.77712,LOWSEC
"Proportion of schools with access to electricity, by education level (%)",Indonesia,2017,93.03909,PRIMAR
"Proportion of schools with access to electricity, by education level (%)",Indonesia,2017,97.86341,UPPSEC
"Proportion of schools with access to electricity, by education level (%)",Indonesia,2018,98.68532,UPPSEC
"Proportion of schools with access to electricity, by education level (%)",Indonesia,2018,93.13399,PRIMAR
"Proportion of schools with access to electricity, by education level (%)",Indonesia,2018,96.79123,LOWSEC
"Proportion of schools with access to electricity, by education level (%)",Indonesia,2020,98.169,UPPSEC
"Proportion of schools with access to electricity, by education level (%)",Indonesia,2021,99.342,UPPSEC
"Proportion of schools with access to electricity, by education level (%)",Indonesia,2021,97.415,PRIMAR
"Proportion of schools with access to electricity, by education level (%)",Indonesia,2021,98.964,LOWSEC
"Proportion of schools with access to electricity, by education level (%)",Indonesia,2022,98.904,LOWSEC
"Proportion of schools with access to electricity, by education level (%)",Indonesia,2022,97.415,PRIMAR
"Proportion of schools with access to electricity, by education level (%)",Indonesia,2022,99.614,UPPSEC
"Proportion of schools with access to basic drinking water, by education level (%)",Indonesia,2016,57.83188,PRIMAR
"Proportion of schools with access to basic drinking water, by education level (%)",Indonesia,2016,47.27839,LOWSEC
"Proportion of schools with access to basic drinking water, by education level (%)",Indonesia,2016,57.59109,UPPSEC
"Proportion of schools with access to basic drinking water, by education level (%)",Indonesia,2017,56.66373,UPPSEC
"Proportion of schools with access to basic drinking water, by education level (%)",Indonesia,2017,58.09987,PRIMAR
"Proportion of schools with access to basic drinking water, by education level (%)",Indonesia,2018,58.26943,PRIMAR
"Proportion of schools with access to basic drinking water, by education level (%)",Indonesia,2018,57.58607,LOWSEC
"Proportion of schools with access to basic drinking water, by education level (%)",Indonesia,2018,59.89392,UPPSEC
"Proportion of schools with access to basic drinking water, by education level (%)",Indonesia,2020,87.911,UPPSEC
"Proportion of schools with access to basic drinking water, by education level (%)",Indonesia,2020,81.238,LOWSEC
"Proportion of schools with access to basic drinking water, by education level (%)",Indonesia,2020,79.896,PRIMAR
"Proportion of schools with access to basic drinking water, by education level (%)",Indonesia,2021,89.256,PRIMAR
"Proportion of schools with access to basic drinking water, by education level (%)",Indonesia,2021,88.559,LOWSEC
"Proportion of schools with access to basic drinking water, by education level (%)",Indonesia,2021,92.778,UPPSEC
"Proportion of schools with access to basic drinking water, by education level (%)",Indonesia,2022,93.643,UPPSEC
"Proportion of schools with access to basic drinking water, by education level (%)",Indonesia,2022,88.771,LOWSEC
"Proportion of schools with access to basic drinking water, by education level (%)",Indonesia,2022,89.63,PRIMAR
"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",Indonesia,2015,55.58223,SECOND
