Provinsi,Sekolah,Siswa,Mengulang,Putus Sekolah,Kepala Sekolah & Guru,Tenaga Kependidikan,Rombel,Ruang Kelas,Status
Prov. D.K.I. Jakarta,293,212200,179,39,0,0,6027,5979,Negeri
Prov. Jawa Barat,1982,1140073,590,601,0,0,34002,36851,Negeri
Prov. Jawa Tengah,1772,926618,475,337,0,0,29985,31696,Negeri
Prov. D.I. Yogyakarta,214,92471,5,4,0,0,2969,3157,Negeri
Prov. Jawa Timur,1737,811528,557,842,0,0,26723,30018,Negeri
Prov. Aceh,903,153398,584,461,0,0,5982,8729,Negeri
Prov. Sumatera Utara,1339,411355,580,1091,0,0,14283,17278,Negeri
Prov. Sumatera Barat,675,177358,1246,351,0,0,6427,8094,Negeri
Prov. Riau,874,204418,394,238,0,0,7246,8548,Negeri
Prov. Jambi,558,98709,255,159,0,0,3823,5080,Negeri
Prov. Sumatera Selatan,908,287347,683,406,0,0,9789,10382,Negeri
Prov. Lampung,709,242619,191,141,0,0,8227,9055,Negeri
Prov. Kalimantan Barat,1030,186019,656,315,0,0,6916,7795,Negeri
Prov. Kalimantan Tengah,714,86866,335,170,0,0,3698,4583,Negeri
Prov. Kalimantan Selatan,522,98906,188,172,0,0,3765,4798,Negeri
Prov. Kalimantan Timur,458,129945,302,149,0,0,4436,4865,Negeri
Prov. Sulawesi Utara,478,74181,232,120,0,0,2989,3703,Negeri
Prov. Sulawesi Tengah,734,101706,420,466,0,0,4277,5474,Negeri
Prov. Sulawesi Selatan,1269,278068,850,727,0,0,10457,13279,Negeri
Prov. Sulawesi Tenggara,694,108768,509,210,0,0,4474,5804,Negeri
Prov. Maluku,552,73152,61,157,0,0,2963,3734,Negeri
Prov. Bali,277,159809,10,48,0,0,4873,4698,Negeri
Prov. Nusa Tenggara Barat,604,133977,209,235,0,0,5013,6041,Negeri
Prov. Nusa Tenggara Timur,1380,241833,403,509,0,0,9233,11018,Negeri
Prov. Papua,189,38710,360,175,0,0,1346,1462,Negeri
