Provinsi,2021,2022,2023
Prov. D.K.I. Jakarta,181.0,188.0,39
Prov. Jawa Barat,502.0,513.0,601
Prov. Jawa Tengah,405.0,243.0,337
Prov. D.I. Yogyakarta,6.0,9.0,4
Prov. Jawa Timur,516.0,423.0,842
Prov. Aceh,307.0,329.0,461
Prov. Sumatera Utara,666.0,802.0,1091
Prov. Sumatera Barat,506.0,272.0,351
Prov. Riau,254.0,250.0,238
Prov. Jambi,205.0,124.0,159
Prov. Sumatera Selatan,260.0,362.0,406
Prov. Lampung,103.0,105.0,141
Prov. Kalimantan Barat,265.0,303.0,315
Prov. Kalimantan Tengah,185.0,204.0,170
Prov. Kalimantan Selatan,179.0,166.0,172
Prov. Kalimantan Timur,110.0,165.0,149
Prov. Sulawesi Utara,192.0,144.0,120
Prov. Sulawesi Tengah,362.0,389.0,466
Prov. Sulawesi Selatan,550.0,573.0,727
Prov. Sulawesi Tenggara,212.0,166.0,210
Prov. Maluku,116.0,172.0,157
Prov. Bali,31.0,42.0,48
Prov. Nusa Tenggara Barat,320.0,206.0,235
Prov. Nusa Tenggara Timur,572.0,671.0,509
Prov. Papua,414.0,569.0,175
Prov. Bengkulu,77.0,90.0,119
Prov. Maluku Utara,175.0,100.0,112
Prov. Banten,159.0,212.0,254
Prov. Kepulauan Bangka Belitung,39.0,27.0,30
Prov. Gorontalo,159.0,177.0,173
Prov. Kepulauan Riau,21.0,14.0,28
Prov. Papua Barat,56.0,87.0,54
Prov. Sulawesi Barat,131.0,135.0,195
Prov. Kalimantan Utara,40.0,37.0,37
Luar Negeri,63.0,6.0,6
Prov. D.K.I. Jakarta,155.0,84.0,264
Prov. Jawa Barat,1116.0,704.0,69
Prov. Jawa Tengah,216.0,221.0,347
Prov. D.I. Yogyakarta,10.0,5.0,35
Prov. Jawa Timur,1922.0,1369.0,39
Prov. Aceh,69.0,111.0,1280
Prov. Sumatera Utara,618.0,864.0,355
Prov. Sumatera Barat,24.0,37.0,18
Prov. Riau,229.0,248.0,2036
Prov. Jambi,36.0,36.0,136
Prov. Sumatera Selatan,181.0,162.0,948
Prov. Lampung,188.0,94.0,21
Prov. Kalimantan Barat,157.0,81.0,112
Prov. Kalimantan Tengah,33.0,16.0,23
Prov. Kalimantan Selatan,69.0,17.0,179
Prov. Kalimantan Timur,22.0,19.0,139
Prov. Sulawesi Utara,52.0,37.0,336
Prov. Sulawesi Tengah,92.0,111.0,28
Prov. Sulawesi Selatan,215.0,144.0,11
Prov. Sulawesi Tenggara,23.0,64.0,44
Prov. Maluku,36.0,39.0,99
Prov. Bali,4.0,4.0,39
Prov. Nusa Tenggara Barat,257.0,113.0,153
Prov. Nusa Tenggara Timur,355.0,195.0,49
Prov. Papua,140.0,287.0,89
Prov. Bengkulu,12.0,1.0,21
Prov. Maluku Utara,18.0,44.0,208
Prov. Banten,295.0,259.0,333
Prov. Kepulauan Bangka Belitung,8.0,4.0,39
Prov. Gorontalo,8.0,6.0,41
Prov. Kepulauan Riau,8.0,5.0,65
Prov. Papua Barat,60.0,25.0,263
Prov. Sulawesi Barat,24.0,31.0,10
Prov. Kalimantan Utara,44.0,2.0,10
Luar Negeri,7.0,2.0,10
