Provinsi,2021,2022,2023
Prov. D.K.I. Jakarta,1491,815,869
Prov. Jawa Barat,6106,5272,5675
Prov. Jawa Tengah,2196,2212,2399
Prov. D.I. Yogyakarta,97,99,75
Prov. Jawa Timur,2468,2654,3327
Prov. Aceh,801,1060,905
Prov. Sumatera Utara,3521,3767,4390
Prov. Sumatera Barat,1034,778,858
Prov. Riau,1100,1051,1388
Prov. Jambi,588,664,835
Prov. Sumatera Selatan,1873,1887,1976
Prov. Lampung,878,849,833
Prov. Kalimantan Barat,939,1092,1324
Prov. Kalimantan Tengah,408,549,675
Prov. Kalimantan Selatan,536,534,532
Prov. Kalimantan Timur,668,639,669
Prov. Sulawesi Utara,607,469,435
Prov. Sulawesi Tengah,818,1013,1033
Prov. Sulawesi Selatan,1542,1811,1613
Prov. Sulawesi Tenggara,641,730,784
Prov. Maluku,802,654,1076
Prov. Bali,92,168,179
Prov. Nusa Tenggara Barat,1325,1093,1235
Prov. Nusa Tenggara Timur,1865,3463,2771
Prov. Papua,1994,2842,651
Prov. Bengkulu,308,286,390
Prov. Maluku Utara,684,534,630
Prov. Banten,1205,1397,1779
Prov. Kepulauan Bangka Belitung,287,231,332
Prov. Gorontalo,403,518,458
Prov. Kepulauan Riau,179,271,385
Prov. Papua Barat,589,584,474
Prov. Sulawesi Barat,346,402,511
Prov. Kalimantan Utara,242,162,188
Luar Negeri,83,73,89
