Provinsi,2021,2022,2023,Status
Prov. D.K.I. Jakarta,339,231,9,Negeri
Prov. Jawa Barat,206,159,109,Negeri
Prov. Jawa Tengah,29,77,44,Negeri
Prov. D.I. Yogyakarta,2,1,13,Negeri
Prov. Jawa Timur,137,188,219,Negeri
Prov. Aceh,482,237,310,Negeri
Prov. Sumatera Utara,553,673,801,Negeri
Prov. Sumatera Barat,148,178,128,Negeri
Prov. Riau,330,213,164,Negeri
Prov. Jambi,183,173,110,Negeri
Prov. Sumatera Selatan,158,249,238,Negeri
Prov. Lampung,110,171,79,Negeri
Prov. Kalimantan Barat,200,104,140,Negeri
Prov. Kalimantan Tengah,92,94,91,Negeri
Prov. Kalimantan Selatan,90,45,66,Negeri
Prov. Kalimantan Timur,48,59,55,Negeri
Prov. Sulawesi Utara,96,103,60,Negeri
Prov. Sulawesi Tengah,182,245,169,Negeri
Prov. Sulawesi Selatan,586,706,525,Negeri
Prov. Sulawesi Tenggara,188,178,249,Negeri
Prov. Maluku,221,215,237,Negeri
Prov. Bali,9,17,18,Negeri
Prov. Nusa Tenggara Barat,212,317,247,Negeri
Prov. Nusa Tenggara Timur,378,429,364,Negeri
Prov. Papua,243,236,68,Negeri
Prov. Bengkulu,170,115,89,Negeri
Prov. Maluku Utara,125,79,127,Negeri
Prov. Banten,66,93,88,Negeri
Prov. Kepulauan Bangka Belitung,16,18,16,Negeri
Prov. Gorontalo,108,157,165,Negeri
Prov. Kepulauan Riau,21,59,23,Negeri
Prov. Papua Barat,70,49,21,Negeri
Prov. Sulawesi Barat,59,78,19,Negeri
Prov. Kalimantan Utara,19,14,30,Negeri
Luar Negeri,0,16,0,Negeri
Prov. D.K.I. Jakarta,75,106,23,Swasta
Prov. Jawa Barat,506,529,383,Swasta
Prov. Jawa Tengah,97,89,115,Swasta
Prov. D.I. Yogyakarta,6,4,2,Swasta
Prov. Jawa Timur,597,654,712,Swasta
Prov. Aceh,211,62,43,Swasta
Prov. Sumatera Utara,429,590,920,Swasta
Prov. Sumatera Barat,64,63,76,Swasta
Prov. Riau,59,19,26,Swasta
Prov. Jambi,20,18,18,Swasta
Prov. Sumatera Selatan,182,148,285,Swasta
Prov. Lampung,115,90,92,Swasta
Prov. Kalimantan Barat,133,63,111,Swasta
Prov. Kalimantan Tengah,3,10,7,Swasta
Prov. Kalimantan Selatan,22,17,5,Swasta
Prov. Kalimantan Timur,82,16,7,Swasta
Prov. Sulawesi Utara,46,51,54,Swasta
Prov. Sulawesi Tengah,25,25,46,Swasta
Prov. Sulawesi Selatan,185,218,222,Swasta
Prov. Sulawesi Tenggara,50,33,54,Swasta
Prov. Maluku,78,47,44,Swasta
Prov. Bali,6,4,26,Swasta
Prov. Nusa Tenggara Barat,178,602,280,Swasta
Prov. Nusa Tenggara Timur,280,167,300,Swasta
Prov. Papua,343,166,34,Swasta
Prov. Bengkulu,5,4,9,Swasta
Prov. Maluku Utara,42,24,157,Swasta
Prov. Banten,300,249,129,Swasta
Prov. Kepulauan Bangka Belitung,7,5,7,Swasta
Prov. Gorontalo,0,11,9,Swasta
Prov. Kepulauan Riau,10,2,3,Swasta
Prov. Papua Barat,21,23,5,Swasta
Prov. Sulawesi Barat,1,4,7,Swasta
Prov. Kalimantan Utara,1,2,11,Swasta
Luar Negeri,0,0,1,Swasta
