Provinsi,2021,2022,2023
Prov. D.K.I. Jakarta,414,337,32
Prov. Jawa Barat,712,688,492
Prov. Jawa Tengah,126,166,159
Prov. D.I. Yogyakarta,8,5,15
Prov. Jawa Timur,734,842,931
Prov. Aceh,693,299,353
Prov. Sumatera Utara,982,1263,1721
Prov. Sumatera Barat,212,241,204
Prov. Riau,389,232,190
Prov. Jambi,203,191,128
Prov. Sumatera Selatan,340,397,523
Prov. Lampung,225,261,171
Prov. Kalimantan Barat,333,167,251
Prov. Kalimantan Tengah,95,104,98
Prov. Kalimantan Selatan,112,62,71
Prov. Kalimantan Timur,130,75,62
Prov. Sulawesi Utara,142,154,114
Prov. Sulawesi Tengah,207,270,215
Prov. Sulawesi Selatan,771,924,747
Prov. Sulawesi Tenggara,238,211,303
Prov. Maluku,299,262,281
Prov. Bali,15,21,44
Prov. Nusa Tenggara Barat,390,919,527
Prov. Nusa Tenggara Timur,658,596,664
Prov. Papua,586,402,102
Prov. Bengkulu,175,119,98
Prov. Maluku Utara,167,103,284
Prov. Banten,366,342,217
Prov. Kepulauan Bangka Belitung,23,23,23
Prov. Gorontalo,108,168,174
Prov. Kepulauan Riau,31,61,26
Prov. Papua Barat,91,72,26
Prov. Sulawesi Barat,60,82,26
Prov. Kalimantan Utara,20,16,41
Luar Negeri,0,16,1
