Provinsi,2021,2022,2023,Status
Prov. D.K.I. Jakarta,181,188,39,Negeri
Prov. Jawa Barat,502,513,601,Negeri
Prov. Jawa Tengah,405,243,337,Negeri
Prov. D.I. Yogyakarta,6,9,4,Negeri
Prov. Jawa Timur,516,423,842,Negeri
Prov. Aceh,307,329,461,Negeri
Prov. Sumatera Utara,666,802,1091,Negeri
Prov. Sumatera Barat,506,272,351,Negeri
Prov. Riau,254,250,238,Negeri
Prov. Jambi,205,124,159,Negeri
Prov. Sumatera Selatan,260,362,406,Negeri
Prov. Lampung,103,105,141,Negeri
Prov. Kalimantan Barat,265,303,315,Negeri
Prov. Kalimantan Tengah,185,204,170,Negeri
Prov. Kalimantan Selatan,179,166,172,Negeri
Prov. Kalimantan Timur,110,165,149,Negeri
Prov. Sulawesi Utara,192,144,120,Negeri
Prov. Sulawesi Tengah,362,389,466,Negeri
Prov. Sulawesi Selatan,550,573,727,Negeri
Prov. Sulawesi Tenggara,212,166,210,Negeri
Prov. Maluku,116,172,157,Negeri
Prov. Bali,31,42,48,Negeri
Prov. Nusa Tenggara Barat,320,206,235,Negeri
Prov. Nusa Tenggara Timur,572,671,509,Negeri
Prov. Papua,414,569,175,Negeri
Prov. Bengkulu,77,90,119,Negeri
Prov. Maluku Utara,175,100,112,Negeri
Prov. Banten,159,212,254,Negeri
Prov. Kepulauan Bangka Belitung,39,27,30,Negeri
Prov. Gorontalo,159,177,173,Negeri
Prov. Kepulauan Riau,21,14,28,Negeri
Prov. Papua Barat,56,87,54,Negeri
Prov. Sulawesi Barat,131,135,195,Negeri
Prov. Kalimantan Utara,40,37,37,Negeri
Luar Negeri,63,6,6,Negeri
Prov. D.K.I. Jakarta,155,84,39,Swasta
Prov. Jawa Barat,1116,704,1280,Swasta
Prov. Jawa Tengah,216,221,355,Swasta
Prov. D.I. Yogyakarta,10,5,18,Swasta
Prov. Jawa Timur,1922,1369,2036,Swasta
Prov. Aceh,69,111,136,Swasta
Prov. Sumatera Utara,618,864,948,Swasta
Prov. Sumatera Barat,24,37,21,Swasta
Prov. Riau,229,248,112,Swasta
Prov. Jambi,36,36,23,Swasta
Prov. Sumatera Selatan,181,162,179,Swasta
Prov. Lampung,188,94,139,Swasta
Prov. Kalimantan Barat,157,81,336,Swasta
Prov. Kalimantan Tengah,33,16,28,Swasta
Prov. Kalimantan Selatan,69,17,11,Swasta
Prov. Kalimantan Timur,22,19,44,Swasta
Prov. Sulawesi Utara,52,37,99,Swasta
Prov. Sulawesi Tengah,92,111,39,Swasta
Prov. Sulawesi Selatan,215,144,153,Swasta
Prov. Sulawesi Tenggara,23,64,49,Swasta
Prov. Maluku,36,39,89,Swasta
Prov. Bali,4,4,21,Swasta
Prov. Nusa Tenggara Barat,257,113,208,Swasta
Prov. Nusa Tenggara Timur,355,195,333,Swasta
Prov. Papua,140,287,39,Swasta
Prov. Bengkulu,12,1,41,Swasta
Prov. Maluku Utara,18,44,65,Swasta
Prov. Banten,295,259,263,Swasta
Prov. Kepulauan Bangka Belitung,8,4,10,Swasta
Prov. Gorontalo,8,6,10,Swasta
Prov. Kepulauan Riau,8,5,10,Swasta
Prov. Papua Barat,60,25,48,Swasta
Prov. Sulawesi Barat,24,31,27,Swasta
Prov. Kalimantan Utara,44,2,6,Swasta
Luar Negeri,7,2,5,Swasta
