Provinsi,2021,2022,2023
Prov. D.K.I. Jakarta,336,272,78
Prov. Jawa Barat,1618,1217,1881
Prov. Jawa Tengah,621,464,692
Prov. D.I. Yogyakarta,16,14,22
Prov. Jawa Timur,2438,1792,2878
Prov. Aceh,376,440,597
Prov. Sumatera Utara,1284,1666,2039
Prov. Sumatera Barat,530,309,372
Prov. Riau,483,498,350
Prov. Jambi,241,160,182
Prov. Sumatera Selatan,441,524,585
Prov. Lampung,291,199,280
Prov. Kalimantan Barat,422,384,651
Prov. Kalimantan Tengah,218,220,198
Prov. Kalimantan Selatan,248,183,183
Prov. Kalimantan Timur,132,184,193
Prov. Sulawesi Utara,244,181,219
Prov. Sulawesi Tengah,454,500,505
Prov. Sulawesi Selatan,765,717,880
Prov. Sulawesi Tenggara,235,230,259
Prov. Maluku,152,211,246
Prov. Bali,35,46,69
Prov. Nusa Tenggara Barat,577,319,443
Prov. Nusa Tenggara Timur,927,866,842
Prov. Papua,554,856,214
Prov. Bengkulu,89,91,160
Prov. Maluku Utara,193,144,177
Prov. Banten,454,471,517
Prov. Kepulauan Bangka Belitung,47,31,40
Prov. Gorontalo,167,183,183
Prov. Kepulauan Riau,29,19,38
Prov. Papua Barat,116,112,102
Prov. Sulawesi Barat,155,166,222
Prov. Kalimantan Utara,84,39,43
Luar Negeri,70,8,11
