Provinsi,2021,2022,2023
Prov. D.K.I. Jakarta,2241,1424,979
Prov. Jawa Barat,8436,7177,8048
Prov. Jawa Tengah,2943,2842,3250
Prov. D.I. Yogyakarta,121,118,112
Prov. Jawa Timur,5640,5288,7136
Prov. Aceh,1870,1799,1855
Prov. Sumatera Utara,5787,6696,8150
Prov. Sumatera Barat,1776,1328,1434
Prov. Riau,1972,1781,1928
Prov. Jambi,1032,1015,1145
Prov. Sumatera Selatan,2654,2808,3084
Prov. Lampung,1394,1309,1284
Prov. Kalimantan Barat,1694,1643,2226
Prov. Kalimantan Tengah,721,873,971
Prov. Kalimantan Selatan,896,779,786
Prov. Kalimantan Timur,930,898,924
Prov. Sulawesi Utara,993,804,768
Prov. Sulawesi Tengah,1479,1783,1753
Prov. Sulawesi Selatan,3078,3452,3240
Prov. Sulawesi Tenggara,1114,1171,1346
Prov. Maluku,1253,1127,1603
Prov. Bali,142,235,292
Prov. Nusa Tenggara Barat,2292,2331,2205
Prov. Nusa Tenggara Timur,3450,4925,4277
Prov. Papua,3134,4100,967
Prov. Bengkulu,572,496,648
Prov. Maluku Utara,1044,781,1091
Prov. Banten,2025,2210,2513
Prov. Kepulauan Bangka Belitung,357,285,395
Prov. Gorontalo,678,869,815
Prov. Kepulauan Riau,239,351,449
Prov. Papua Barat,796,768,602
Prov. Sulawesi Barat,561,650,759
Prov. Kalimantan Utara,346,217,272
Luar Negeri,153,97,101
